"Timestamp","Do you have a job?","How long ago did you get your Bachelor degree?","What program are enrolled in?","How would you rate your computer programming background?","Have you ever programmed in C?","Have you ever programmed in C++?","Have you ever programmed in C#?","Have you ever programmed in Java?","Have you ever programmed in Python?","Have you ever programmed in Javascript?","Have you ever programmed in R?","Have you ever programmed in SQL?","Have you ever used SAS?","Have you ever used Excel?","Have you ever used Tableau?","Have you ever run a regression?","How familiar are you with the Machine Learning task called ""classification""?","How familiar are you with the Machine Learning task called ""clustering""?"
"2017/01/09 2:48:20 PM MST","No, I'm not working at the moment","longer than 1 year ago but less than 3 years ago","MSIS","4","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","4","4"
"2017/01/09 3:15:59 PM MST","Yes, I have a part-time job","over 5 years ago","MSIS","3","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No","No","2","2"
"2017/01/09 4:48:48 PM MST","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MSIS","3","No","No","No","Yes","Yes","No","No","Yes","No","Yes","No","Yes","3","3"
"2017/01/09 4:48:51 PM MST","No, I'm not working at the moment","over 5 years ago","MSIS","3","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","2","3"
"2017/01/09 4:50:03 PM MST","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MSIS","3","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","No","No","1","1"
"2017/01/09 6:07:04 PM MST","Yes, I have a full-time job","longer than 1 year ago but less than 3 years ago","Supply Chain Mgmt & Analytics","1","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","1","1"
"2017/01/09 6:07:44 PM MST","No, I'm not working at the moment","longer than 1 year ago but less than 3 years ago","MSIS","3","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No","No","2","2"
"2017/01/09 7:02:47 PM MST","No, I'm not working at the moment","< 1 year ago","MSIS","2","Yes","No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","2","2"
"2017/01/09 9:42:46 PM MST","Yes, I have a full-time job","over 5 years ago","MBA","1","No","No","No","No","No","No","No","No","No","Yes","No","Yes","1","1"
"2017/01/09 11:08:27 PM MST","Yes, I have a part-time job","over 5 years ago","MSIS","3","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","2","1"
"2017/01/10 8:43:34 AM MST","Yes, I have a part-time job","over 5 years ago","MBA","4","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","2","2"
"2017/01/10 5:47:48 PM MST","Yes, I have a full-time job","over 5 years ago","MBA","2","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes","1","1"
"2017/01/10 7:04:45 PM MST","Yes, I have a part-time job","over 5 years ago","MSIS","4","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","Yes","1","1"
"2017/01/10 8:16:50 PM MST","No, I'm not working at the moment","< 1 year ago","Supply Chain Mgmt & Analytics","2","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No","Yes","3","1"
"2017/01/10 8:17:47 PM MST","Yes, I have a full-time job","over 5 years ago","MBA","5","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","2","2"
"2017/01/10 8:22:31 PM MST","Yes, I have a full-time job","over 5 years ago","MBA","1","No","No","No","No","No","No","No","No","No","Yes","No","No","1","1"
"2017/01/10 8:23:22 PM MST","Yes, I have a full-time job","over 5 years ago","Faculty!","3","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","5","5"
"2017/01/10 8:23:33 PM MST","Yes, I have a full-time job","over 5 years ago","MBA","4","No","No","No","No","Yes","","Yes","Yes","","Yes","No","Yes","4","4"
"2017/01/10 8:23:57 PM MST","Yes, I have a part-time job","longer than 1 year ago but less than 3 years ago","MBA","2","No","No","No","No","No","No","Yes","No","No","Yes","No","Yes","2","2"
"2017/01/10 8:24:15 PM MST","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MSIS","5","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes","No","1","1"
"2017/01/10 8:24:25 PM MST","Yes, I have a part-time job","longer than 1 year ago but less than 3 years ago","MSIS","2","No","No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","3","2"
"2017/01/10 8:24:48 PM MST","No, I'm not working at the moment","over 5 years ago","MSIS","2","No","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","1","1"
"2017/01/10 8:25:01 PM MST","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MBA","1","No","No","No","No","No","No","Yes","No","No","Yes","No","Yes","1","2"
"2017/01/10 8:26:06 PM MST","Yes, I have a part-time job","longer than 3 years ago but less than 5 years ago","MSIS","3","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","2","2"
"2017/01/12 2:58:41 PM MST","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MBA","2","Yes","Yes","No","No","No","No","No","No","No","Yes","No","Yes","2","2"
"2017/01/12 7:17:28 PM MST","No, I'm not working at the moment","over 5 years ago","MSIS","3","Yes","Yes","Yes","Yes","","Yes","No","Yes","No","Yes","Yes","No","2","1"
"2017/01/12 8:32:52 PM MST","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MSIS","2","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","2","3"
"2017/01/16 11:14:51 AM MST","Yes, I have a part-time job","over 5 years ago","MSIS","3","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","No","2","2"
"2017/01/16 12:49:56 PM MST","Yes, I have a part-time job","over 5 years ago","MSIS","3","Yes","Yes","No","Yes","Yes","No","","Yes","No","Yes","Yes","","1","1"
"2017/01/17 12:08:20 PM MST","No, I'm not working at the moment","longer than 1 year ago but less than 3 years ago","MSIS","3","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","No","1","1"
"2017/02/16 8:18:23 PM MST","Yes, I have a part-time job","longer than 1 year ago but less than 3 years ago","MSIS","3","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","No","Yes","1","1"
"2017/02/16 8:19:19 PM MST","Yes, I have a full-time job","over 5 years ago","Business Man","1","No","No","","No","No","Yes","Yes","No","No","Yes","No","Yes","2","3"
"2017/04/03 11:00:55 AM MDT","No, I'm not working at the moment","over 5 years ago","MBA","3","No","No","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","4","4"
"2017/04/03 11:26:21 AM MDT","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MSIS","3","Yes","No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","3","3"
"2017/04/03 11:40:51 AM MDT","No, I'm not working at the moment","over 5 years ago","MSIS","4","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","1","2"
"2017/04/03 11:49:36 AM MDT","No, I'm not working at the moment","over 5 years ago","Master of Finance","4","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","1","1"
"2017/04/03 12:23:55 PM MDT","Yes, I have a full-time job","over 5 years ago","MBA","3","No","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","3","3"
"2017/04/03 3:13:19 PM MDT","No, I'm not working at the moment","longer than 1 year ago but less than 3 years ago","MSIS","1","No","No","No","No","No","No","No","Yes","No","Yes","Yes","No","1","1"
"2017/04/03 3:21:24 PM MDT","No, I'm not working at the moment","over 5 years ago","MBA","1","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","1","1"
"2017/04/03 3:44:01 PM MDT","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MSIS","3","Yes","No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","3","3"
"2017/04/03 5:38:19 PM MDT","Yes, I have a full-time job","longer than 1 year ago but less than 3 years ago","MSIS","3","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","3","3"
"2017/04/03 6:23:34 PM MDT","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MSIS","2","No","No","No","Yes","No","Yes","No","Yes","No","Yes","No","No","2","1"
"2017/04/03 6:44:53 PM MDT","No, I'm not working at the moment","longer than 1 year ago but less than 3 years ago","MSIS","4","No","No","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No","2","1"
"2017/04/03 6:45:04 PM MDT","No, I'm not working at the moment","longer than 1 year ago but less than 3 years ago","MSIS","3","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","No","1","1"
"2017/04/03 6:46:01 PM MDT","No, I'm not working at the moment","over 5 years ago","MSIS","3","No","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","1","1"
"2017/04/03 6:50:01 PM MDT","Yes, I have a full-time job","longer than 1 year ago but less than 3 years ago","MSIS","3","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","2","2"
"2017/04/03 6:50:09 PM MDT","No, I'm not working at the moment","longer than 1 year ago but less than 3 years ago","MSIS","4","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","2","2"
"2017/04/03 6:50:13 PM MDT","No, I'm not working at the moment","longer than 1 year ago but less than 3 years ago","MSIS","4","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","No","2","2"
"2017/04/03 6:50:13 PM MDT","Yes, I have a part-time job","longer than 3 years ago but less than 5 years ago","MSIS","4","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","No","1","1"
"2017/04/03 6:50:21 PM MDT","Yes, I have a full-time job","over 5 years ago","MBA","3","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","No","No","2","1"
"2017/04/03 6:50:23 PM MDT","Yes, I have a part-time job","longer than 1 year ago but less than 3 years ago","MBA","3","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","3","3"
"2017/04/03 6:50:26 PM MDT","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MSIS","3","Yes","No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","3","3"
"2017/04/03 6:50:47 PM MDT","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MSIS","4","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","No","2","2"
"2017/04/03 6:50:48 PM MDT","Yes, I have a part-time job","longer than 3 years ago but less than 5 years ago","MSIS","3","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","2","2"
"2017/04/03 6:50:48 PM MDT","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MSIS","2","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","1","1"
"2017/04/03 6:50:53 PM MDT","Yes, I have a part-time job","over 5 years ago","MSIS","3","No","No","No","Yes","No","Yes","No","Yes","No","Yes","Yes","No","1","1"
"2017/04/03 6:51:00 PM MDT","Yes, I have a full-time job","over 5 years ago","MBA","2","No","No","No","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","1","1"
"2017/04/03 6:51:31 PM MDT","No, I'm not working at the moment","over 5 years ago","MSIS","4","Yes","No","No","Yes","No","No","No","","Yes","Yes","Yes","No","1","1"
"2017/04/03 6:51:36 PM MDT","Yes, I have a part-time job","over 5 years ago","MSIS","3","No","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes","1","1"
"2017/04/03 6:51:42 PM MDT","No, I'm not working at the moment","longer than 3 years ago but less than 5 years ago","MSIS","3","No","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes","No","1","2"
"2017/04/03 7:03:52 PM MDT","Yes, I have a full-time job","over 5 years ago","MBA","3","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","1","1"